"geoid","name","crime_other","crime_personal","crime_property","density","median_income","unemployed","education"
"060371060202","Block Group 2, Census Tract 1060.20, Los Angeles County, California",6,38,59,2900,21944,0.06930693069306930693,0.45204027556968733439
"060371061111","Block Group 1, Census Tract 1061.11, Los Angeles County, California",4,12,21,1862,26322,0.08854860186418109188,0.62888198757763975155
"060371061112","Block Group 2, Census Tract 1061.11, Los Angeles County, California",3,13,51,2484,31490,0.0678981527708437344,0.68833652007648183556
"060371061121","Block Group 1, Census Tract 1061.12, Los Angeles County, California",5,26,50,2259,17389,0.08367228355607205113,0.48644578313253012048
"060371061122","Block Group 2, Census Tract 1061.12, Los Angeles County, California",3,43,88,3563,21395,0.02455111762550384756,0.56224899598393574297
"060371061131","Block Group 1, Census Tract 1061.13, Los Angeles County, California",3,64,63,1765,18936,0.02680565897244973939,0.53682342502218278616
"060371061132","Block Group 2, Census Tract 1061.13, Los Angeles County, California",3,20,34,1866,19260,0.03237674760853568801,0.4070567986230636833
"060371061141","Block Group 1, Census Tract 1061.14, Los Angeles County, California",7,86,118,4085,16067,0.08986873106698081454,0.36145086461408688317
"060371061142","Block Group 2, Census Tract 1061.14, Los Angeles County, California",4,24,39,1477,13054,0.12186379928315412186,0.36900780379041248606
"060371064031","Block Group 1, Census Tract 1064.03, Los Angeles County, California",3,22,54,865,17215,0.06401137980085348506,0.44041450777202072539
"060371064032","Block Group 2, Census Tract 1064.03, Los Angeles County, California",4,21,52,1324,12383,0.06799163179916317992,0.2862694300518134715
"060371064033","Block Group 3, Census Tract 1064.03, Los Angeles County, California",7,37,65,959,18589,0.04438642297650130548,0.42651757188498402556
"060371064051","Block Group 1, Census Tract 1064.05, Los Angeles County, California",3,31,32,1514,13623,0.07244897959183673469,0.34045077105575326216
"060371064052","Block Group 2, Census Tract 1064.05, Los Angeles County, California",11,22,27,986,19505,0.06606217616580310881,0.48406676783004552352
"060371064053","Block Group 3, Census Tract 1064.05, Los Angeles County, California",2,17,43,702,23440,0.0710743801652892562,0.57029702970297029703
"060371064061","Block Group 1, Census Tract 1064.06, Los Angeles County, California",2,46,91,3166,22620,0.11013719512195121951,0.55137963843958135109
"060371064062","Block Group 2, Census Tract 1064.06, Los Angeles County, California",1,16,26,553,21606,0,0.48829431438127090301
"060371064063","Block Group 3, Census Tract 1064.06, Los Angeles County, California",2,15,21,1323,20025,0.07135250266240681576,0.61311914323962516734
"060371064071","Block Group 1, Census Tract 1064.07, Los Angeles County, California",4,26,30,1542,11382,0.05485232067510548523,0.28352098259979529171
"060371064072","Block Group 2, Census Tract 1064.07, Los Angeles County, California",1,29,63,1130,10637,0.12924281984334203655,0.4059590316573556797
"060371064081","Block Group 1, Census Tract 1064.08, Los Angeles County, California",6,41,44,3123,14176,0.12568555758683729433,0.42101827676240208877
"060371064082","Block Group 2, Census Tract 1064.08, Los Angeles County, California",25,23,,660,7008,0.1080332409972299169,0.38645418326693227092
"060371065101","Block Group 1, Census Tract 1065.10, Los Angeles County, California",5,20,38,1733,21116,0.01965811965811965812,0.61936936936936936937
"060371065102","Block Group 2, Census Tract 1065.10, Los Angeles County, California",2,15,45,1732,24656,0.1729927007299270073,0.61492537313432835821
"060371065103","Block Group 3, Census Tract 1065.10, Los Angeles County, California",1,16,61,1555,32586,0.03553299492385786802,0.72183449651046859422
"060371065201","Block Group 1, Census Tract 1065.20, Los Angeles County, California",29,47,,1937,18747,0.05630026809651474531,0.44042728019720624486
"060371065202","Block Group 2, Census Tract 1065.20, Los Angeles County, California",5,33,49,1468,16662,0.08076602830974188177,0.34371754932502596054
"060371065203","Block Group 3, Census Tract 1065.20, Los Angeles County, California",1,16,40,1892,14493,0.08632596685082872928,0.29074889867841409692
"060371066031","Block Group 1, Census Tract 1066.03, Los Angeles County, California",44,40,,1749,36450,0.03465703971119133574,0.72611464968152866242
"060371066032","Block Group 2, Census Tract 1066.03, Los Angeles County, California",1,5,50,1451,37184,0.08510638297872340426,0.91857000993048659384
"060371066041","Block Group 1, Census Tract 1066.04, Los Angeles County, California",6,10,,223,23039,0,0.82978723404255319149
"060371066042","Block Group 2, Census Tract 1066.04, Los Angeles County, California",5,61,115,2211,17065,0.09715796430931923331,0.38640275387263339071
"060371066043","Block Group 3, Census Tract 1066.04, Los Angeles County, California",9,16,,718,10541,0.02380952380952380952,0.18589743589743589744
"060371066044","Block Group 4, Census Tract 1066.04, Los Angeles County, California",6,37,54,1497,17954,0.14564831261101243339,0.47785547785547785548
"060371066411","Block Group 1, Census Tract 1066.41, Los Angeles County, California",4,21,52,2127,41715,0.10123042505592841163,0.85504469987228607918
"060371066421","Block Group 1, Census Tract 1066.42, Los Angeles County, California",1,11,35,1273,39065,0.06925207756232686981,0.70107108081791626095
"060371066422","Block Group 2, Census Tract 1066.42, Los Angeles County, California",17,24,,967,33408,0.08649289099526066351,0.73901098901098901099
"060371066423","Block Group 3, Census Tract 1066.42, Los Angeles County, California",1,15,17,1237,24266,0.10432033719704952582,0.6823238566131025958
"060371066431","Block Group 1, Census Tract 1066.43, Los Angeles County, California",1,14,44,3028,43727,0.03256212510711225364,0.82617483577564426478
"060371066432","Block Group 2, Census Tract 1066.43, Los Angeles County, California",3,5,7,679,35943,0.01860465116279069767,0.78089887640449438202
"060371066433","Block Group 3, Census Tract 1066.43, Los Angeles County, California",1,12,24,626,39537,0.04490500863557858377,0.77955911823647294589
"060371066451","Block Group 1, Census Tract 1066.45, Los Angeles County, California",7,35,,1179,31706,0.03100775193798449612,0.72202166064981949458
"060371066452","Block Group 2, Census Tract 1066.45, Los Angeles County, California",2,14,44,2308,45996,0.07056978567694720335,0.81438664097623635196
"060371066461","Block Group 1, Census Tract 1066.46, Los Angeles County, California",6,25,25,2042,30984,0.07063631056625802685,0.72651933701657458564
"060371066462","Block Group 2, Census Tract 1066.46, Los Angeles County, California",1,25,27,1578,23019,0.09283018867924528302,0.54644808743169398907
"060371066481","Block Group 1, Census Tract 1066.48, Los Angeles County, California",2,21,69,3150,12692,0.10596885813148788927,0.25731639977912755384
"060371066482","Block Group 2, Census Tract 1066.48, Los Angeles County, California",3,40,51,1245,8832,0.08322496749024707412,0.25490196078431372549
"060371066491","Block Group 1, Census Tract 1066.49, Los Angeles County, California",2,41,20,756,22830,0.10518518518518518519,0.3681415929203539823
"060371066492","Block Group 2, Census Tract 1066.49, Los Angeles County, California",1,16,22,1945,25547,0.13741598207617625093,0.66698113207547169811
"060371070101","Block Group 1, Census Tract 1070.10, Los Angeles County, California",4,49,49,3175,17567,0.09318555008210180624,0.33315677966101694915
"060371070201","Block Group 1, Census Tract 1070.20, Los Angeles County, California",4,50,96,4301,15667,0.07352941176470588235,0.35647584246853430775
"060371070202","Block Group 2, Census Tract 1070.20, Los Angeles County, California",5,32,20,1078,16347,0.04374240583232077764,0.46905089408528198074
"060371081011","Block Group 1, Census Tract 1081.01, Los Angeles County, California",1,17,43,2307,51894,0.04617676266137040715,0.75794757389849414389
"060371081021","Block Group 1, Census Tract 1081.02, Los Angeles County, California",1,40,111,3772,38196,0.04595469255663430421,0.72468588322246858832
"060371081031","Block Group 1, Census Tract 1081.03, Los Angeles County, California",2,18,50,1534,43730,0.06735751295336787565,0.8635514018691588785
"060371081032","Block Group 2, Census Tract 1081.03, Los Angeles County, California",2,1,31,1766,52756,0.04907161803713527851,0.90516576715497301465
"060371081041","Block Group 1, Census Tract 1081.04, Los Angeles County, California",1,16,31,1870,42471,0.03196664350243224461,0.9149102263856362217
"060371082011","Block Group 1, Census Tract 1082.01, Los Angeles County, California",2,8,12,2028,38702,0.04430379746835443038,0.90593342981186685962
"060371082012","Block Group 2, Census Tract 1082.01, Los Angeles County, California",5,29,106,3554,41144,0.02009499451954694921,0.83548908649959579628
"060371082021","Block Group 1, Census Tract 1082.02, Los Angeles County, California",3,42,42,5579,55248,0.05661729574773053034,0.85539023753589141216
"060371091001","Block Group 1, Census Tract 1091, Los Angeles County, California",11,33,44,843,23489,0.12868632707774798928,0.61198288159771754636
"060371091002","Block Group 2, Census Tract 1091, Los Angeles County, California",5,71,79,1604,18433,0.06042741341193809875,0.41342756183745583039
"060371092001","Block Group 1, Census Tract 1092, Los Angeles County, California",2,5,22,747,23882,0.056,0.52631578947368421053
"060371092002","Block Group 2, Census Tract 1092, Los Angeles County, California",11,26,,1113,20158,0.11425339366515837104,0.57894736842105263158
"060371092003","Block Group 3, Census Tract 1092, Los Angeles County, California",2,24,32,896,46962,0.08219178082191780822,0.91627172195892575039
"060371093001","Block Group 1, Census Tract 1093, Los Angeles County, California",1,10,24,893,26201,0.01761517615176151762,0.44376899696048632219
"060371093002","Block Group 2, Census Tract 1093, Los Angeles County, California",1,14,34,1607,22485,0.10753532182103610675,0.54231119199272065514
"060371093003","Block Group 3, Census Tract 1093, Los Angeles County, California",16,17,,886,25373,0.11789772727272727273,0.73684210526315789474
"060371094001","Block Group 1, Census Tract 1094, Los Angeles County, California",1,12,27,932,27861,0.05215123859191655802,0.52551020408163265306
"060371094002","Block Group 2, Census Tract 1094, Los Angeles County, California",16,22,,1165,24761,0.05098493626882966396,0.48800959232613908873
"060371094003","Block Group 3, Census Tract 1094, Los Angeles County, California",1,7,15,1615,20278,0.03686635944700460829,0.40107430617726051925
